,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
175,angl_right_elbow_mov_min,(0.0847171605211524+0j),(1.0171254469949893+0j),(0.1117864581137639+0j),(1.1076671808002465+0j),(41.00479696538631+0j),(24.58048323298292+0j),(2.1420752798670275+0j),(32.820106390558564+0j)
176,angl_right_elbow_mov_sma,(33.06227324205745+0j),(18.811118615214845+0j),(76.41312217106318+0j),(58.718044206408265+0j),(53.807729098185376+0j),(47.20574971108736+0j),(35.03347984078144+0j),(50.262645756147286+0j)
177,angl_right_elbow_mov_energy,(1748.070263437878+0j),(935.6648051964419+0j),(6907.357408269074+0j),(4055.2944859580207+0j),(2934.3132955771252+0j),(2439.483623573737+0j),(1429.582221287011+0j),(2561.6351704069857+0j)
178,angl_right_elbow_mov_iqr,(37.74861942730279+0j),(21.747657818922953+0j),(49.41271315133145+0j),(19.320504532035493+0j),(7.322429651246466+0j),(8.524408565320066+0j),(15.89304793212315+0j),(4.957698588994219+0j)
179,angl_right_elbow_mov_entropy,(5.421136922711426+0j),(5.078547746113342+0j),(5.625422504085257+0j),(5.6139722845767785+0j),(5.716825708815914+0j),(5.683076564915725+0j),(5.6197443364595365+0j),(5.696506818345183+0j)
180,angl_right_elbow_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
181,angl_right_elbow_mov_kurtosis,(0.14593163438844226+0j),(2.2926908133173614+0j),(-0.7337038670656879+0j),(2.6956377932570215+0j),(-0.056631878798520496+0j),(5.698900904699251+0j),(0.8143060541248999+0j),(1.335309805955741+0j)
182,angl_right_elbow_mov_skewness,(0.8819179490448501+0j),(1.7788074731628638+0j),(0.19756479884609188+0j),(0.9517082927747131+0j),(0.10242208730845116+0j),(2.246849344399898+0j),(0.6320525141392099+0j),(-0.7580296371513693+0j)
183,angl_right_elbow_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
184,angl_right_elbow_mov_maxFreqComp,(10117.05561206958-0j),(5756.202296255742-0j),(23382.41538434533-0j),(17615.413261922484-0j),(16465.165104044725-0j),(14444.959411592732-0j),(10510.043952234431-0j),(15078.793726844186-0j)
185,angl_right_elbow_mov_meanFreq,(0.12385521163653072+2.9722049077546675e-15j),(5.842130124802414+1.4861024538773338e-15j),(59.99852839562928-2.9722049077546675e-15j),(47.67567120349061-3.031649005909761e-15j),(53.68135852280414+3.7152561346933344e-16j),(40.03923857975527+7.430512269386669e-16j),(48.058598971227354+9.473903143468002e-16j),(55.84589208390535+0j)
186,angl_right_elbow_mov_skewnessFreq,(19.37203730772928+1.3051469930229612e-15j),(8.035576920056434-1.3684041233935159e-15j),(18.068444872269513-1.6724615330818374e-16j),(15.334156572876424+1.2860521035455105e-16j),(17.500149118550958+1.1629446985444493e-17j),(17.449069949182814+0j),(16.96882878005921-3.4952958189753655e-18j),(17.092435057660364+6.40421430749776e-18j)
187,angl_right_elbow_mov_kurtosisFreq,(277.6874220305209+2.0174755050726978e-14j),(133.0616816626376-3.0198115990627877e-14j),(313.0093963153667-4.219573135012679e-15j),(254.39366087030942+2.878294674405186e-15j),(303.26794114448245+2.6982919603690464e-16j),(302.16389640693023-5.885448013510843e-17j),(284.80809497325345-4.691325643016245e-17j),(291.757694609752+1.5070820316556785e-16j)
188,angl_right_elbow_mov_median,(25.931790485540347+0j),(8.20104852605052+0j),(66.30985482651792+0j),(56.67715840942621+0j),(55.202870868312964+0j),(42.650730911388365+0j),(30.98390930271961+0j),(50.81616191218126+0j)
189,angl_right_elbow_mov_peak_count,(29+0j),(37+0j),(15+0j),(30+0j),(32+0j),(36+0j),(31+0j),(38+0j)
190,angl_right_fingers_pos_mov_mean,(137.9363953726195+0j),(117.96622336905111+0j),(158.55910988341506+0j),(158.07508369856623+0j),(170.8296035419344+0j),(173.62437621542827+0j),(147.66164760635678+0j),(162.21584094042302+0j)
